ws,plot,tree_id,species,branch,dbh,ba,dam_class,dam_gte2,pct_dam,canopy,ba_perc_dam
3,312,23,FAGR,1,8.4,55.41769441,Class 6,TRUE,100,C,55.41769441
3,312,1,ACRU,1,6.9,37.39280656,Class 6,TRUE,100,S,37.39280656
3,312,10,FAGR,1,7.7,46.56625711,Class 6,TRUE,100,S,46.56625711
3,313,26,ACRU,1,24,452.3893421,Class 1,FALSE,0,C,0
3,313,49,ACRU,1,17.98,253.9038324,Class 1,FALSE,0,C,0
3,313,21,BELE,1,19.76,306.6646819,Class 1,FALSE,0,C,0
3,313,10,LITU,1,49.31,1909.676863,Class 1,FALSE,0,C,0
3,313,20,LITU,1,27.8,606.9871166,Class 1,FALSE,0,C,0
3,313,34,OSVI,1,23.46,432.2608438,Class 1,FALSE,0,C,0
3,313,1,PRSE,1,21.94,378.0620874,Class 1,FALSE,0,C,0
3,313,15,PRSE,1,26.54,553.212161,Class 1,FALSE,0,C,0
3,313,17,PRSE,1,27.83,608.2978676,Class 1,FALSE,0,C,0
3,313,22,PRSE,1,30.7,740.229915,Class 1,FALSE,0,C,0
3,313,25,PRSE,1,48.6,1855.079046,Class 1,FALSE,0,C,0
3,313,27,PRSE,1,29.89,701.6842225,Class 1,FALSE,0,C,0
3,313,30,PRSE,1,30.59,734.9348391,Class 1,FALSE,0,C,0
3,313,35,PRSE,1,25.2,498.7592497,Class 1,FALSE,0,C,0
3,313,35,PRSE,2,33.73,893.5576221,Class 1,FALSE,0,C,0
3,313,38,PRSE,1,19.96,312.9038849,Class 1,FALSE,0,C,0
3,313,8,ACRU,1,2.54,5.067074791,Class 1,FALSE,0,S,0
3,313,11,FAGR,1,13.31,139.1380756,Class 1,FALSE,0,S,0
3,313,12,FAGR,1,7.87,48.64512751,Class 1,FALSE,0,S,0
3,313,14,FAGR,1,7.29,41.73927854,Class 1,FALSE,0,S,0
3,313,29,FAGR,1,11.59,105.501043,Class 1,FALSE,0,S,0
3,313,40,FAGR,1,8.97,63.19384309,Class 1,FALSE,0,S,0
3,313,42,FAGR,1,6.19,30.09339457,Class 1,FALSE,0,S,0
3,313,13,PRSE,1,16.79,221.4069624,Class 1,FALSE,0,S,0
3,313,47,PRSE,1,21.67,368.8142596,Class 1,FALSE,0,S,0
3,313,44,PRSE,1,25.47,509.5042034,Class 2,TRUE,25,C,127.3760509
3,313,32,PRSE,1,22.38,393.3779799,Class 2,TRUE,25,C,98.34449497
3,313,24,ACRU,1,9.34,68.51468002,Class 2,TRUE,25,S,17.12867001
3,313,2,FAGR,1,9.73,74.35592178,Class 2,TRUE,25,S,18.58898045
3,313,33,FAGR,1,5.67,25.24968702,Class 2,TRUE,25,S,6.312421754
3,313,36,ACSA,1,4.64,16.9093083,Class 3,TRUE,50,S,8.454654149
3,313,9,BELE,1,13.19,136.6405094,Class 3,TRUE,50,S,68.32025471
3,313,3,FAGR,1,13.9,151.7467792,Class 3,TRUE,50,S,75.87338958
3,313,37,FAGR,1,11.28,99.93280567,Class 3,TRUE,50,S,49.96640284
3,313,5,FAGR,1,10.28,82.99962127,Class 3,TRUE,50,S,41.49981064
3,313,16,FAGR,1,8.9,62.21138852,Class 3,TRUE,50,S,31.10569426
3,313,45,FAGR,1,8.37,55.02256059,Class 3,TRUE,50,S,27.5112803
3,313,41,FAGR,1,6.66,34.83680678,Class 3,TRUE,50,S,17.41840339
3,313,6,FAGR,1,6.24,30.58151953,Class 3,TRUE,50,S,15.29075976
3,313,39,FAGR,1,4.3,14.52201204,Class 3,TRUE,50,S,7.261006021
3,313,46,FAGR,1,3.22,8.143322317,Class 3,TRUE,50,S,4.071661159
3,313,4,OSVI,1,11.07,96.24653939,Class 3,TRUE,50,S,48.1232697
3,313,48,PRSE,1,18.58,271.1323265,Class 4,TRUE,50,C,135.5661633
3,313,7,ACRU,1,5.03,19.87128039,Class 4,TRUE,50,S,9.935640196
3,313,18,FAGR,1,12.83,129.2835277,Class 5,TRUE,50,S,64.64176387
3,313,43,FAGR,1,6.63,34.52366853,Class 5,TRUE,50,S,17.26183426
3,313,19,FAGR,1,7.35,42.42917228,Class 6,TRUE,100,S,42.42917228
3,313,28,FAGR,1,4.3,14.52201204,Class 6,TRUE,100,S,14.52201204
3,314,1,ACRU,2,33.1,860.4900818,Class 1,FALSE,0,C,0
3,314,1,ACRU,5,27.3,585.3493972,Class 1,FALSE,0,C,0
3,314,1,ACRU,8,17.8,248.8455541,Class 1,FALSE,0,C,0
3,314,36,BELE,1,20.9,343.0697718,Class 1,FALSE,0,C,0
3,314,44,BELE,1,15,176.7145868,Class 1,FALSE,0,C,0
3,314,46,BELE,1,16.7,219.0396938,Class 1,FALSE,0,C,0
3,314,22,LITU,1,21.6,366.4353671,Class 1,FALSE,0,C,0
3,314,21,PRPE,1,18.2,260.1552876,Class 1,FALSE,0,C,0
3,314,31,QUPR,1,40.9,1313.821902,Class 1,FALSE,0,C,0
3,314,58,QUPR,1,16.9,224.3175694,Class 1,FALSE,0,C,0
